,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,"RESIDENTIAL
UNITS","COMMERCIAL
UNITS","TOTAL 
UNITS","LAND 
SQUARE FEET","GROSS 
SQUARE FEET",YEAR BUILT,TAX CLASS AT TIME OF SALE,"BUILDING CLASS
AT TIME OF SALE",SALE PRICE,SALE DATE
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16030,69,,B2,521 BEACH 63 STREET,,11692,2,0,2,"3,164","1,978",2000,1,B2,"620,000",5/3/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16031,39,,B9,557 BEACH 64TH STREET,,11692,2,0,2,"2,950","2,250",1960,1,B9,"710,000",12/7/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16031,53,,B9,533 BEACH 64 STREET,,11692,2,0,2,"2,950","2,250",1960,1,B9,0,7/14/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16033,9,,B2,520 BEACH 67 STREET,,11692,2,0,2,"4,000","2,496",2001,1,B2,0,10/20/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16033,25,,B2,550 BEACH 67TH STREET,,11692,2,0,2,"2,000","1,344",1920,1,B2,0,4/4/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16033,27,,B1,556 BEACH 67 STREET,,11692,2,0,2,"3,000","1,890",2003,1,B1,"242,000",5/8/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16033,34,,B2,66-11 ALMEDA AVENUE,,11692,2,0,2,"4,000","1,508",1930,1,B2,"428,046",4/3/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16033,48,,B2,547 BEACH 66 STREET,,11692,2,0,2,"3,000","1,738",2003,1,B2,0,5/3/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16034,52,,B2,535 BEACH 67 STREET,,11692,2,0,2,"4,000","1,504",1930,1,B2,"360,146",9/19/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16034,59,,B1,525 BEACH 67 STREET,,11692,2,0,2,"4,000","2,400",2002,1,B1,"892,500",12/11/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16035,28,,B1,6816 ELIZABETH AVENUE,,11692,2,0,2,"2,929","1,860",2006,1,B1,0,10/27/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16037,29,,B9,448 BEACH 64TH STREET,,11692,2,0,2,"2,550","2,016",1940,1,B9,0,7/19/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16037,29,,B9,448 BEACH 64TH STREET,,11692,2,0,2,"2,550","2,016",1940,1,B9,0,10/10/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16037,29,,B9,448 BEACH 64TH STREET,,11692,2,0,2,"2,550","2,016",1940,1,B9,"450,000",3/29/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16037,54,,B9,4-33 BEACH 63 STREET,,11692,2,0,2,"2,550","1,881",1940,1,B9,"630,000",8/23/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16037,70,,B9,6302 BEACH CHANNEL DRIVE,,11692,2,0,2,"3,167","1,848",1940,1,B9,0,9/28/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16038,66,,B3,413 BEACH 64TH STREET,,11692,2,0,2,"4,000","2,240",1930,1,B3,0,6/20/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16042,22,,B3,446 BEACH 69TH STREET,,11692,2,0,2,"4,000","2,993",1910,1,B3,"1,250,500",7/5/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16042,46,,B1,4-53 BEACH 68 STREET,,11692,2,0,2,"4,000","3,381",1920,1,B1,0,3/24/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16042,52,,B2,441 BEACH 68TH STREET,,11692,2,0,2,"4,000","4,217",1930,1,B2,"445,000",7/13/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16042,67,,B2,68-04 BEACH CHANNEL DRIVE,,11692,2,0,2,"2,434","1,785",2006,1,B2,10,7/22/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16045,10,,B9,69-47 BAYFIELD AVENUE,,11692,2,0,2,"3,000","1,512",1950,1,B9,"560,000",3/15/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16046,26,,B9,6923 DE COSTA AVE,,11692,2,0,2,"2,717","1,916",1940,1,B9,"560,000",4/10/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16046,61,,B9,6936 HILLMEYER AVENUE,,11692,2,0,2,"3,750","2,160",1950,1,B9,"770,000",10/20/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16047,11,,B9,69-43 HILLMEYER AVENUE,,11692,2,0,2,"2,625","1,817",1940,1,B9,"971,179",9/6/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16047,15,,B9,69-33 HILLMEYER AVENUE,,11692,2,0,2,"2,625","1,617",1960,1,B9,0,6/15/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16047,35,,B9,601 BEACH 69 STREET,,11692,2,0,2,"3,750","1,365",1940,1,B9,"690,000",8/25/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16048,24,,B2,N/A ALMEDA AVENUE,,11692,2,0,2,"4,400","1,487",2021,1,B2,"1,100,000",2/1/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16049,28,,B3,533 BEACH 69 STREET,,11692,2,0,2,"4,000","1,774",1920,1,B3,"1,300,000",3/16/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16049,37,,B3,69-20 ELIZABETH AVENUE,,11692,2,0,2,"4,000","1,147",1950,1,B3,"620,000",12/1/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16050,13,,B3,69-35 ELIZABETH AVENUE,,11692,2,0,2,"2,500","1,425",1925,1,B3,100,4/14/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16051,12,,B1,69-29 THURSBY AVENUE,,11692,2,0,2,"2,025","1,920",1945,1,B1,"595,000",10/19/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16051,60,,B9,460 BEACH 72ND STREET,,11692,2,0,2,"3,000","2,068",1950,1,B9,0,4/20/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,16051,62,,B9,462 BEACH 72ND STREET,,11692,2,0,2,"3,000","2,068",1950,1,B9,0,3/20/23
